	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
7612	"New Yorkers exposed to calorie counts on fast food menus for years haven't changed how much or how often they eat at popular fast food restaurants, researchers report in Health Affairs.. ."	authority	authority	authority	fast food	0.709635417	fast food	0.7578125
7615	"""Studies show that even when following a gluten-free diet, unintentional gluten intake can still occur, depending on how strict a gluten-free dieter is,"" added Dr. KÃ¶nig."	authority	authority	authority	butter	0.737664474	butter	0.7578125
7617	A 1982 study in Applied and Environmental Microbiology showed that Campylobacter cultures inserted in milk died much more quickly and completely in raw milk than in milk that had been pasteurized.	authority	authority	authority	milk	0.725280166	milk	0.7578125
7620	"Lilly's Lung-Cancer Drug Portrazza to Cost $11,430 a Month -The Wall Street Journal Eli Lilly & Co. said Friday its new lung-cancer drug will cost about $11,430 a patient a month in the U. S.â€”well above what a group of doctors say is a fair price that reflects.. More."	Eli Lilly & Co.	Eli Lilly & Co.	ORG	cancer	0.734087619	cancer	0.80625
7633	"Garden to Table has built a series of large raised beds, totaling about 5,000 square feet, which required bringing in soil suitable for planting, Lewis said, â€œwhich is one of those funky challenges you get in urban environments.â€ù The farm is growing vegetables that are suitable for San Joseâ€™s climate: garlic, radishes, beets and carrots are thriving now, while summer crops like tomatoes, peppers and eggplant are being planted.. ."	Zach Lewis	unknown	PERSON	potatoes	0.704969484	potatoes	0.777286259
7634	"Just about a year ago, I published this recipe for Peanut Butter Coconut Oatmeal Cookies and fretted over what people would think."	empirical observation	empirical observation	empirical observation	butter	0.721380158	butter	0.80625
7635	"""Prior published data suggested that CDK 4/6 inhibitors were not effective in reducing the growth rates of estrogen receptor negative breast cancer,"" says Dr. Lou."	Zhenkun Lou	unknown	PERSON	cancer	0.92578125	cancer	0.7578125
7638	"""The majority of patients with hypertension require two or more medications to achieve their blood pressure goals,"" said William B White, MD Professor of Medicine and chief of the Division of Hypertension and Clinical Pharmacology, Calhoun Cardiology Center at UConn Health in Farmington and immediate past president of the American Society of Hypertension."	William B White	MD Professor of Medicine	PERSON	stress	0.80401901	stress	0.838541667
7642	"RARITAN, N.J., May 13, 2013 /PRNewswire/ -- Janssen Research & Development, LLC (Janssen) announced today that the U.S. Food and Drug Administration (FDA) has granted Priority Review to the New Drug Application (NDA) for simeprevir (TMC435), an investigational NS3/4A protease inhibitor administered as a 150 mg capsule once daily with pegylated interferon and ribavirin for the treatment of genotype 1 chronic hepatitis C in adult patients with compensated liver disease.. ."	Janssen	LLC (	PERSON	liver	0.907226563	liver	0.7578125
7645	"In October 2011, the Food and Drug Administration (FDA) and the National Institutes of Health (NIH) announced a joint national, prospective, longitudinal cohort study of tobacco users and those at risk for tobacco-product use to monitor and assess their tobacco use and the resultant health impacts.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	cancer	0.914331897	cancer	0.7578125
7649	"Both Gottlieb and Center for Tobacco Products (CTP) Director Mitch Zeller have demonstrated in their words, that they understand that itâ€™s not nicotine or even tobacco that causes nearly half a million Americans to die prematurely every year, but the byproducts of burning tobacco from a lit cigarette.. ."	Scott Gottlieb	Center for Tobacco Products (	PERSON	cancer	0.939413265	cancer	0.80625
7651	"The modified salmon grows twice as fast as a normal Atlantic salmon, but the FDA said in announcing its decision it does not include ""biologically relevant differences ... compared to that of other farm-raised Atlantic salmon.""."	FDA	FDA	ORG	fish	0.910511364	fish	0.7578125
7653	"Arasco chief executive officer Dr. Abdulmalik Alhusseini said that through the joint venture, the company will be able to expand its facilities more quickly and launch new products, such as high fructose corn syrup (HFCS), in Saudi Arabia.. ."	Abdulmalik Alhusseini	unknown	PERSON	sugar	0.713033655	sugar	0.7578125
7656	"Seafood fraud, also known as economically motivated adulteration (EMA), occurs when a food product is intentionally mislabeled or modified to gain financial advantage.5 Data compiled by the National Center for Food Protection and Defense (NCFPD) demonstrated that seafood has been the most commonly implicated food product of all reported cases of EMA since 1980, accounting for nearly one third (31%) of all cases.6 A variety of recent independent investigations, including ongoing work at the University of Minnesota, have started to shed light on the degree to which seafood EMA is occurring in the US."	the National Center for Food Protection and Defense	the National Center for Food Protection and Defense	ORG	fish	0.846634615	fish	0.7578125
7661	"â€œIn the last few years, multiple new medications and various surgical methods have become available to treat diabetic retinopathy,â€ù said Dr. Nazanin Barzideh, chief of vitreoretinal surgery at Winthrop-University Hospital in Mineola, N.Y.. ."	Nazanin Barzideh	Winthrop-University Hospital	PERSON	diabetes	0.813656914	diabetes	0.7578125
7664	"Dr Aseem Malhotra, scientific director of Action on Sugar, set up earlier this year to reduce the amount of sugar added to food and soft drinks, said: ""Whatever the company says, this is a product with a high sugar content and it will encourage people to have a sweet tooth."	Dr Aseem Malhotra	Action on Sugar	PERSON	sugar	0.833960747	sugar	0.7578125
7670	"â€œItâ€™s good to see more differentiation in the milk aisles,â€ù National Farmers Union dairy board chairman Michael Oakes said at the launch of another free-range milk campaign, Enjoy Milk, in January."	Michael Oakes	unknown	PERSON	milk	0.789884868	milk	0.80625
7684	"From The MNB Archives Article Search: ConAgra To Pay $11.2 Million Fine In Tainted Food Case The Associated Press reports that ConAgra has pleaded guilty to a single misdemeanor charge of shipping adulterated food, which included an agreement to pay $11.2 million "" to resolve a decade-long criminal investigation into a nationwide salmonella outbreak blamed on tainted peanut butter ... Disease detectives traced the salmonella to a plant in rural Sylvester, Georgia, that produced peanut butter for ConAgra under the Peter Pan label and the Great Value brand sold at Wal-Mart."	The Associated Press	The Associated Press	ORG	butter	0.845983793	butter	0.80625
7685	"FRIDAY Nov. 18, 2011 -- Saying the risks outweigh the benefits in patients with advanced breast cancer, U.S. Food and Drug Administration Commissioner Dr. Margaret Hamburg said on Friday that the agency has rescinded its approval of the cancer drug Avastin for that use.. ."	Margaret Hamburg	U.S. Food and Drug Administration	PERSON	cancer	0.892274395	cancer	0.7578125
7686	"In a statement, the National Breast Cancer Coalition said it ""applauds the FDA and Commissioner Margaret Hamburg for the decision to revoke the approval of Avastin in the first-line treatment of metastatic breast cancer."	the National Breast Cancer Coalition	the National Breast Cancer Coalition	ORG	cancer	0.892274395	cancer	0.80625
7688	Schuman Cheese said the True Cheese seal was developed in response to consumer desire to know the cheese they are buying is real â€“ made with quality ingredients and according to required industry practices for manufacturing and labeling.. .	Schuman Cheese	Schuman Cheese	ORG	cheese	0.782226563	cheese	0.7578125
7689	"Although the research is a bit spotty when it comes to which foods help or harm sleep, anecdotal evidence does suggest that certain items consumed right before bedtime are more likely to be Ã¢Â€Âœsleep promotersÃ¢Â€Âù while others may be Ã¢Â€Âœsleep stealers,Ã¢Â€Âù says Russell Rosenberg, Ph.D., CEO of the National Sleep Foundation.. ."	Ã¢Â€Âù	unknown	PERSON	coffee	0.803125	coffee	0.80625
7698	"â€œThe EAP Designation for the MobiusHD device comes at a critical time for hypertension physicians, who are actively looking for treatment options for patients who are not adequately managed with current guideline-directed therapies,â€ù said George Bakris, MD, Chairman of the worldwide CALM II clinical trial Hypertension committee and, Director, ASH Comprehensive Hypertension Center, The University of Chicago School of Medicine.. ."	George Bakris	Hypertension	PERSON	stress	0.837850225	stress	0.7578125
7702	"However, the Academy of Nutrition & Dietetics says that ""only those that have a gluten intolerance or have celiac disease should eliminate gluten from their diets"".. ."	the Academy of Nutrition & Dietetics	the Academy of Nutrition & Dietetics	ORG	butter	0.758522727	butter	0.7578125
